ID,DL400,DL372,DL324,DL138,DL181,DL371,DL865
1.nii.gz,0.487113148,-0.272373721,0.627698817,0.076106559,-0.836870938,0.670453606,-0.219923419
10.nii.gz,0.13260427,-2.369794933,0.528081172,0.852996354,0.317585573,-0.459255045,-1.267738601
100.nii.gz,-0.611864374,-0.407428772,-0.577200314,1.405728057,1.254663605,0.870036122,1.946661765
101.nii.gz,1.515188895,-0.820729771,-0.043873196,-0.82723139,-0.546770478,1.431800327,-0.829555193
102.nii.gz,-0.860020589,1.016344355,1.131547245,-0.70653088,-0.747218557,0.211497204,-0.605177693
103.nii.gz,-0.399159047,2.401065419,2.307645357,-1.323444601,-0.405972536,0.117665463,-0.41492779
104.nii.gz,0.061702495,-0.975310853,-0.115028657,-0.038846309,-0.415973284,1.078938047,-0.949833304
105.nii.gz,0.6289167,-0.781677708,0.86454485,1.030215358,-1.101772661,0.992758032,1.104447915
106.nii.gz,0.345309597,-1.048533471,1.267081455,0.698767923,-0.158828048,-0.02958121,-0.322038432
107.nii.gz,1.44428712,-0.893952389,0.446421811,-0.954637485,-0.156465666,1.371567511,2.782665986
108.nii.gz,-0.399159047,0.503786029,2.041320633,-0.589662131,1.035513339,-1.354850315,3.086922358
109.nii.gz,0.912523802,-2.44464472,0.999740225,0.489936881,1.02043347,-0.660407146,-0.193946842
11.nii.gz,0.735269363,-1.626178568,-0.60329065,-0.835852855,-1.232058005,1.495908056,-0.622505041
110.nii.gz,0.593465812,0.492395844,0.665309561,-0.961343069,-1.404984338,0.478571866,2.197867094
111.nii.gz,0.345309597,-1.546447273,2.702727581,1.394232771,-1.456444884,0.505500055,0.046471263
112.nii.gz,0.380760485,-0.565264193,-0.177374393,0.028209531,-1.609369719,1.259685545,0.512493714
113.nii.gz,-0.18645372,0.791794993,2.916532798,-0.58774625,-1.590706904,0.097506109,0.762847086
114.nii.gz,1.515188895,-1.779132481,1.575082949,0.247577919,2.19556082,-1.13559894,-0.970473348
115.nii.gz,1.018876466,-0.402547264,-0.646322762,1.757292243,0.392709308,0.420693427,1.913618669
116.nii.gz,0.203506046,-1.541565765,0.649045455,0.566572126,-0.669574948,0.245488525,-0.823376569
117.nii.gz,0.664367588,-0.36512237,0.781530146,-1.230524367,-0.746155485,1.602296475,0.76877555
118.nii.gz,-0.044650169,0.879662135,1.351451502,0.047368342,-0.08835033,-0.206699043,1.103333818
119.nii.gz,-0.576413486,0.498904522,-1.563211696,-1.211365555,1.088036957,2.022160405,-1.887803851
12.nii.gz,0.735269363,-0.859781834,1.03497912,0.323255223,-1.086220315,-1.535794012,-1.209520853
120.nii.gz,-0.18645372,0.165334818,2.032510909,-0.253424994,0.538665117,0.290663137,3.212567303
121.nii.gz,-1.569038345,-0.531093638,0.181452429,-0.96325895,-0.047874859,1.076387472,-0.448019509
122.nii.gz,-1.462685682,-0.054333036,-0.059798466,-1.843606326,-0.311437899,0.149400506,-1.058799205
123.nii.gz,-0.009199281,0.258083467,0.403728534,0.162321209,-2.069719145,0.73088262,1.163931267
124.nii.gz,-1.498136569,1.637923023,0.575856982,-1.203702031,-2.074128924,0.427069865,-0.065450061
125.nii.gz,0.309858709,-0.880935035,1.233536738,-1.022651265,-0.848761592,0.797540924,-0.183517595
126.nii.gz,0.309858709,-0.550619669,-1.186765426,-0.111649791,1.172492099,0.682568838,0.391043722
127.nii.gz,1.337934456,0.057941645,0.229228238,0.102928894,0.417553688,1.220151628,-0.515352279
128.nii.gz,1.976050437,-2.324234193,0.560948219,0.602015927,0.656351094,-0.810547741,-0.449793186
129.nii.gz,-0.044650169,0.225540081,-0.168225834,1.075238564,-0.199736622,0.185010461,-0.055213192
13.nii.gz,1.337934456,-1.212877569,-0.071657709,0.716968794,-1.196031686,-1.051871402,-1.32605571
130.nii.gz,0.203506046,0.144181617,-1.213533433,-1.056179185,0.21919238,1.628832267,-1.301036087
131.nii.gz,0.735269363,-1.676620816,0.130288265,-0.890455467,-1.633072281,0.743880744,-0.506158334
132.nii.gz,2.011501325,-0.350477847,-0.804558953,1.129841176,1.03110356,0.765266337,3.236431958
