ID,DL1566,DL1265,DL1307,DL1070,DL1500,DL1063
1.nii.gz,-0.374181944,-0.602609626,0.02500549,-0.473691089,-0.342320777,-0.502163571
10.nii.gz,-1.01073885,-1.077366541,-0.923187698,-0.926963872,-0.851551222,-0.872260147
100.nii.gz,0.286003207,0.210164796,0.453070848,0.407514105,0.26841137,-0.088378542
101.nii.gz,2.098553418,1.443786736,1.096785182,1.825309353,1.794670444,1.316586694
102.nii.gz,-0.328737921,-0.147806136,0.382793073,0.109717536,-0.297231667,-0.151341654
103.nii.gz,0.703864345,0.238216211,0.58531223,0.647671268,1.190234972,1.204541464
104.nii.gz,0.582680645,0.674880967,0.565796166,0.48502546,0.770708742,0.375569191
105.nii.gz,-0.665031501,-0.355253093,-0.426942844,-0.252476716,-0.397135793,-0.619459006
106.nii.gz,1.470417817,0.632385594,1.120934078,1.153104487,1.504035869,1.504039108
107.nii.gz,-0.317257874,-0.618257929,0.854286556,-0.187273272,-0.310843253,-0.616499547
108.nii.gz,-0.650139111,-0.064605557,-1.219983945,-0.470770729,-0.278919519,-0.606572983
109.nii.gz,0.009041644,-0.193966313,0.212541694,0.103341047,0.429065831,-0.388167736
11.nii.gz,-0.725745375,-1.520271,-0.78706554,-0.751669498,-0.687738182,-1.037635788
110.nii.gz,0.0336732,-0.147577256,0.051477034,-0.166060848,-0.119650502,0.430762279
111.nii.gz,2.157739006,1.576373609,1.205538314,1.73832924,2.312710967,1.315094239
112.nii.gz,0.730362602,1.188443929,0.901948632,0.875765203,1.143988643,0.381129455
113.nii.gz,1.671742746,1.802000172,2.003332743,2.084844882,1.231558366,2.366409991
114.nii.gz,0.236094721,0.834165048,1.672398965,0.431579391,-0.151506939,0.408613776
115.nii.gz,1.79772173,1.286213805,1.475684352,1.805199052,1.644335859,1.793765218
116.nii.gz,-0.11184052,-0.392456981,0.182293249,-0.036118009,-0.183800807,0.081754447
117.nii.gz,1.235530237,1.775605412,1.17227749,1.500484952,1.178447725,1.647902565
118.nii.gz,0.307719196,0.608963548,1.019202907,0.756022004,0.500456435,0.655463606
119.nii.gz,-0.121598127,-0.637020633,0.848245177,-0.070968272,-0.069522881,0.234521731
12.nii.gz,-0.874707231,-0.838947225,-0.266102554,-0.256194401,-0.702152946,-0.543477979
120.nii.gz,-0.344545764,0.058139478,-0.238338803,0.071782386,-0.106395884,-0.196089867
121.nii.gz,0.149071321,0.152925741,0.751063737,0.189563913,-0.27937597,0.688846018
122.nii.gz,-0.16985359,-0.854170465,0.454296575,-0.320498219,-0.61471489,-0.172277681
123.nii.gz,0.208954345,0.054556418,0.537683394,0.272167177,0.031643799,0.076765712
124.nii.gz,0.571707134,1.233895668,1.172987996,0.997349842,0.608014884,0.634268423
125.nii.gz,0.408959242,0.534637516,0.999549727,0.746187278,0.464709929,1.186194673
126.nii.gz,-0.491827481,0.051869803,-0.818394287,-0.183195947,-0.455293723,-0.785147022
127.nii.gz,0.257149067,-0.212914301,0.215126108,0.317469143,0.10639341,-0.211086152
128.nii.gz,1.722113297,0.50751252,0.965054866,1.162191458,1.013279964,1.344237615
129.nii.gz,0.130161349,0.271109527,0.910491325,0.214742922,0.438876589,-0.197580008
13.nii.gz,0.150473787,0.359310042,0.683561506,0.213957198,0.008468698,0.294624882
130.nii.gz,1.407887136,-0.058959852,1.299025954,0.617910806,0.940300561,1.788635336
131.nii.gz,1.32160239,1.069153891,1.531386365,1.019276272,1.571006804,2.355092781
132.nii.gz,2.231815898,1.146212858,0.990043073,1.695360187,2.124631443,0.883920367
133.nii.gz,3.832228199,2.349426465,1.113579717,3.154230315,3.147220867,2.448747258
134.nii.gz,-0.761717057,-0.382612419,-0.975158516,-0.32355674,-0.443992186,-0.850465668
135.nii.gz,4.394019453,4.127153213,3.587578434,4.052434556,3.839384065,2.616471492
136.nii.gz,0.173783142,-0.735646084,2.110440493,0.030939532,0.018225326,0.397472422
137.nii.gz,2.983031185,2.242708473,1.106653322,2.721739653,3.104193099,2.72048523
138.nii.gz,2.608229987,1.394076196,2.091618315,2.113569666,2.918852277,2.001066134
139.nii.gz,-0.015866501,-0.587045791,0.244456297,0.202088028,0.244621817,-0.318591542
14.nii.gz,-0.278443296,-0.012039467,0.670942753,-0.137263292,-0.158927185,0.02577001
140.nii.gz,-0.574295307,-0.704409423,-0.801117771,-0.299110721,-0.286118854,-0.301785798
141.nii.gz,0.730947234,-0.358378394,0.140203037,-0.060926832,0.961584026,-0.043419765
142.nii.gz,1.444595303,1.150248229,0.867806946,1.112215228,0.843806646,1.812951949
143.nii.gz,1.118146103,1.647547092,0.6857138,1.771478332,1.962764169,0.907387784
144.nii.gz,1.646451716,0.535171569,2.95051211,1.255418336,1.796212427,1.906409745
145.nii.gz,-0.710207613,-0.807737812,-0.338175291,-0.394490165,-0.351424915,-0.155275257
146.nii.gz,0.574076033,0.64508843,0.765768304,0.493808688,0.038856301,0.689114428
147.nii.gz,2.880216212,2.258457592,1.828215852,2.695669454,2.858423798,1.84298617
148.nii.gz,2.22310282,1.783488146,1.213150286,2.134401356,2.233598744,1.583125368
149.nii.gz,0.813712257,0.443349847,1.375814623,1.090083138,0.49161856,1.249419254
15.nii.gz,-0.303237551,-0.490586525,-0.185865229,-0.202271625,-0.426214027,-0.497792643
150.nii.gz,0.461239881,0.28264344,1.276817446,0.581472222,0.363475951,0.793227663
151.nii.gz,0.71183443,0.620957946,1.32686034,0.73985403,0.492183271,1.306437997
152.nii.gz,1.03390811,1.71541544,0.689926976,1.239449693,1.124838206,0.779166187
153.nii.gz,0.270560895,1.07024107,0.622175445,0.915362501,1.051727135,0.201178655
154.nii.gz,1.089296301,1.271701728,0.532497946,1.082214303,1.019379136,0.67493263
155.nii.gz,1.709646209,1.514834881,0.70931839,1.66083687,1.735925858,1.607157373
156.nii.gz,-0.240483431,0.576323635,0.714001082,0.215493841,0.109540284,-0.312730472
157.nii.gz,2.058553306,2.089800333,1.311815063,2.104070322,2.454629016,1.76179659
158.nii.gz,0.480929724,-0.025001155,1.284878158,0.165896235,0.054360986,0.795465189
159.nii.gz,0.331132678,0.552250371,-0.004927175,0.553938152,0.411372525,-0.136664684
16.nii.gz,0.150031245,0.094002783,0.67570439,0.200850909,0.135474569,0.438678078
160.nii.gz,0.433612492,0.34245467,-0.420402864,0.530379105,0.644968351,-0.143217605
161.nii.gz,0.156648759,-0.586702471,1.284998653,0.064281627,0.145841261,-0.401222672
162.nii.gz,-0.134231168,-0.435440086,0.683079526,-0.256874658,-0.799888933,-0.499609042
163.nii.gz,1.431448133,1.349488206,0.760142426,1.602064756,1.220817151,1.195832002
